username,repo_name,stars,repo_url
public-apis,public-apis,118000,https://github.com/public-apis/public-apis
httpie,httpie,50500,https://github.com/httpie/httpie
neovim,neovim,43000,https://github.com/neovim/neovim
strapi,strapi,35800,https://github.com/strapi/strapi
slatedocs,slate,32400,https://github.com/slatedocs/slate
tiangolo,fastapi,29700,https://github.com/tiangolo/fastapi
hoppscotch,hoppscotch,28500,https://github.com/hoppscotch/hoppscotch
littlecodersh,ItChat,21300,https://github.com/littlecodersh/ItChat
encode,django-rest-framework,20700,https://github.com/encode/django-rest-framework
YMFE,yapi,20600,https://github.com/YMFE/yapi
paularmstrong,normalizr,20100,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,19600,https://github.com/FallibleInc/security-guide-for-developers
Binaryify,NeteaseCloudMusicApi,19500,https://github.com/Binaryify/NeteaseCloudMusicApi
ccxt,ccxt,18700,https://github.com/ccxt/ccxt
microsoft,api-guidelines,17000,https://github.com/microsoft/api-guidelines
Kong,insomnia,16100,https://github.com/Kong/insomnia
shieldfy,API-Security-Checklist,15500,https://github.com/shieldfy/API-Security-Checklist
learn-anything,learn-anything,12900,https://github.com/learn-anything/learn-anything
youfou,wxpy,12700,https://github.com/youfou/wxpy
BrainJS,brain.js,11900,https://github.com/BrainJS/brain.js
jsdoc,jsdoc,11800,https://github.com/jsdoc/jsdoc
directus,directus,10600,https://github.com/directus/directus
graphile,postgraphile,10100,https://github.com/graphile/postgraphile
ChainSafe,web3.js,10100,https://github.com/ChainSafe/web3.js
micro,micro,10000,https://github.com/micro/micro
postmanlabs,httpbin,9800,https://github.com/postmanlabs/httpbin
ruby-grape,grape,9300,https://github.com/ruby-grape/grape
go-chi,chi,9200,https://github.com/go-chi/chi
star7th,showdoc,8800,https://github.com/star7th/showdoc
zealdocs,zeal,8700,https://github.com/zealdocs/zeal
